SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"084";1;Region Hovedstaden;;;;;;
2;"01";2;Landsdel Byen København;;;;;;
3;"101";3;København;"Samme kommunenavn og kode før og efter kommunalreformen i 2007.

Særstatus som amtskommune bortfaldt ved kommunalreformen i 2007.";;;;;
4;"147";3;Frederiksberg;"Samme kommunenavn og kode før og efter kommunalreformen i 2007.

Særstatus som amtskommune bortfaldt ved kommunalreformen i 2007.";;;;;
5;"155";3;Dragør;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
6;"185";3;Tårnby;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
7;"02";2;Landsdel Københavns omegn;;;;;;
8;"165";3;Albertslund;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
9;"151";3;Ballerup;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
10;"153";3;Brøndby;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
11;"157";3;Gentofte;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
12;"159";3;Gladsaxe;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
13;"161";3;Glostrup;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
14;"163";3;Herlev;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
15;"167";3;Hvidovre;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
16;"169";3;Høje-Taastrup;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
17;"183";3;Ishøj;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
18;"173";3;Lyngby-Taarbæk;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
19;"175";3;Rødovre;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
20;"187";3;Vallensbæk;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
21;"03";2;Landsdel Nordsjælland;;;;;;
22;"201";3;Allerød;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
23;"240";3;Egedal;;;;;;
24;"210";3;Fredensborg;;;;;;
25;"250";3;Frederikssund;;;;;;
26;"190";3;Furesø;;;;;;
27;"270";3;Gribskov;;;;;;
28;"260";3;Halsnæs;Hed indtil 1. januar 2008 Frederiksværk-Hundested Kommune.;;;;;
29;"217";3;Helsingør;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
30;"219";3;Hillerød;;;;;;
31;"223";3;Hørsholm;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
32;"230";3;Rudersdal;;;;;;
33;"04";2;Landsdel Bornholm;;;;;;
34;"400";3;Bornholm;"Samme kommunenavn og kode før og efter kommunalreformen i 2007.

Særstatus som amtskommune bortfaldt ved kommunalreformen i 2007.";;;;;
35;"411";3;Christiansø;;;;;;
36;"085";1;Region Sjælland;;;;;;
37;"05";2;Landsdel Østsjælland;;;;;;
38;"253";3;Greve;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
39;"259";3;Køge;;;;;;
40;"350";3;Lejre;;;;;;
41;"265";3;Roskilde;;;;;;
42;"269";3;Solrød;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
43;"06";2;Landsdel Vest- og Sydsjælland;;;;;;
44;"320";3;Faxe;;;;;;
45;"376";3;Guldborgsund;;;;;;
46;"316";3;Holbæk;;;;;;
47;"326";3;Kalundborg;;;;;;
48;"360";3;Lolland;;;;;;
49;"370";3;Næstved;;;;;;
50;"306";3;Odsherred;;;;;;
51;"329";3;Ringsted;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
52;"330";3;Slagelse;;;;;;
53;"340";3;Sorø;;;;;;
54;"336";3;Stevns;;;;;;
55;"390";3;Vordingborg;;;;;;
56;"083";1;Region Syddanmark;;;;;;
57;"07";2;Landsdel Fyn;;;;;;
58;"420";3;Assens;;;;;;
59;"430";3;Faaborg-Midtfyn;;;;;;
60;"440";3;Kerteminde;;;;;;
61;"482";3;Langeland;;;;;;
62;"410";3;Middelfart;;;;;;
63;"480";3;Nordfyns;;;;;;
64;"450";3;Nyborg;;;;;;
65;"461";3;Odense;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
66;"479";3;Svendborg;;;;;;
67;"492";3;Ærø;;;;;;
68;"08";2;Landsdel Sydjylland;;;;;;
69;"530";3;Billund;;;;;;
70;"561";3;Esbjerg;;;;;;
71;"563";3;Fanø;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
72;"607";3;Fredericia;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
73;"510";3;Haderslev;;;;;;
74;"621";3;Kolding;;;;;;
75;"540";3;Sønderborg;;;;;;
76;"550";3;Tønder;;;;;;
77;"573";3;Varde;;;;;;
78;"575";3;Vejen;;;;;;
79;"630";3;Vejle;;;;;;
80;"580";3;Aabenraa;;;;;;
81;"082";1;Region Midtjylland;;;;;;
82;"09";2;Landsdel Østjylland;;;;;;
83;"710";3;Favrskov;;;;;;
84;"766";3;Hedensted;;;;;;
85;"615";3;Horsens;;;;;;
86;"707";3;Norddjurs;;;;;;
87;"727";3;Odder;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
88;"730";3;Randers;;;;;;
89;"741";3;Samsø;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
90;"740";3;Silkeborg;;;;;;
91;"746";3;Skanderborg;;;;;;
92;"706";3;Syddjurs;;;;;;
93;"751";3;Aarhus;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
94;"10";2;Landsdel Vestjylland;;;;;;
95;"657";3;Herning;;;;;;
96;"661";3;Holstebro;;;;;;
97;"756";3;Ikast-Brande;;;;;;
98;"665";3;Lemvig;;;;;;
99;"760";3;Ringkøbing-Skjern;;;;;;
100;"779";3;Skive;;;;;;
101;"671";3;Struer;;;;;;
102;"791";3;Viborg;;;;;;
103;"081";1;Region Nordjylland;;;;;;
104;"11";2;Landsdel Nordjylland;;;;;;
105;"810";3;Brønderslev;;;;;;
106;"813";3;Frederikshavn;;;;;;
107;"860";3;Hjørring;;;;;;
108;"849";3;Jammerbugt;;;;;;
109;"825";3;Læsø;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
110;"846";3;Mariagerfjord;;;;;;
111;"773";3;Morsø;Samme kommunenavn og kode før og efter kommunalreformen i 2007.;;;;;
112;"840";3;Rebild;;;;;;
113;"787";3;Thisted;;;;;;
114;"820";3;Vesthimmerlands;;;;;;
115;"851";3;Aalborg;;;;;;
